Calibration curve (predicted p -> empirical rate; '#'=empirical, 'o'=perfect)
  predicted   empirical   count   curve
      0.057       0.000      18   #---------------------------------------
      0.155       0.000      16   #---------------------------------------
      0.455       0.000       5   #---------------------------------------
      0.566       0.667       6   --------------------------#-------------
      0.625       1.000       3   ---------------------------------------#
      0.757       0.800      15   -------------------------------#--------
      0.856       0.871      31   ----------------------------------#-----
      0.937       0.923      26   ------------------------------------#---
